1423774192 ------------------------------------------------------------
1423774192 Server listening on TCP port 5001
1423774192 TCP window size: 85.3 KByte (default)
1423774192 ------------------------------------------------------------
1423774193 ------------------------------------------------------------
1423774193 Client connecting to 192.168.1.14, TCP port 5001
1423774193 TCP window size: 91.9 KByte (default)
1423774193 ------------------------------------------------------------
1423774260 [  4] 66.0-67.0 sec  9.13 MBytes  76.6 Mbits/sec
1423774261 [  4] 67.0-68.0 sec  6.99 MBytes  58.7 Mbits/sec
1423774261 [  5] 67.0-68.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774262 [  4] 68.0-69.0 sec  6.78 MBytes  56.8 Mbits/sec
1423774262 [  5] 68.0-69.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774263 [  4] 69.0-70.0 sec  7.11 MBytes  59.6 Mbits/sec
1423774263 [  5] 69.0-70.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774264 [  5] 70.0-71.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774264 [  4] 70.0-71.0 sec  7.77 MBytes  65.2 Mbits/sec
1423774265 [  4] 71.0-72.0 sec  7.28 MBytes  61.1 Mbits/sec
1423774265 [  5] 71.0-72.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774266 [  4] 72.0-73.0 sec  7.92 MBytes  66.5 Mbits/sec
1423774266 [  5] 72.0-73.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774267 [  4] 73.0-74.0 sec  8.65 MBytes  72.6 Mbits/sec
1423774267 [  5] 73.0-74.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774268 [  5] 74.0-75.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774268 [  4] 74.0-75.0 sec  8.24 MBytes  69.1 Mbits/sec
1423774269 [  5] 75.0-76.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774269 [  4] 75.0-76.0 sec  7.12 MBytes  59.8 Mbits/sec
1423774270 [  4] 76.0-77.0 sec  7.63 MBytes  64.0 Mbits/sec
1423774270 [  5] 76.0-77.0 sec  7.62 MBytes  64.0 Mbits/sec
1423774271 [  5] 77.0-78.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774271 [  4] 77.0-78.0 sec  7.75 MBytes  65.0 Mbits/sec
1423774272 [  4] 78.0-79.0 sec  8.12 MBytes  68.1 Mbits/sec
1423774272 [  5] 78.0-79.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774273 [  5] 79.0-80.0 sec  7.62 MBytes  64.0 Mbits/sec
1423774273 [  4] 79.0-80.0 sec  8.88 MBytes  74.5 Mbits/sec
1423774274 [  4] 80.0-81.0 sec  8.21 MBytes  68.8 Mbits/sec
1423774274 [  5] 80.0-81.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774275 [  4] 81.0-82.0 sec  8.68 MBytes  72.8 Mbits/sec
1423774275 [  5] 81.0-82.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774276 [  4] 82.0-83.0 sec  8.02 MBytes  67.2 Mbits/sec
1423774276 [  5] 82.0-83.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774277 [  4] 83.0-84.0 sec  7.92 MBytes  66.5 Mbits/sec
1423774277 [  5] 83.0-84.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774278 [  4] 84.0-85.0 sec  7.54 MBytes  63.3 Mbits/sec
1423774278 [  5] 84.0-85.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774279 [  5] 85.0-86.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774279 [  4] 85.0-86.0 sec  7.00 MBytes  58.7 Mbits/sec
1423774280 [  4] 86.0-87.0 sec  8.88 MBytes  74.4 Mbits/sec
1423774280 [  5] 86.0-87.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774281 [  4] 87.0-88.0 sec  6.99 MBytes  58.6 Mbits/sec
1423774281 [  5] 87.0-88.0 sec  7.25 MBytes  60.8 Mbits/sec
1423774282 [  5] 88.0-89.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774282 [  4] 88.0-89.0 sec  7.26 MBytes  60.9 Mbits/sec
1423774283 [  5] 89.0-90.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774283 [  4] 89.0-90.0 sec  8.74 MBytes  73.3 Mbits/sec
1423774284 [  4] 90.0-91.0 sec  7.04 MBytes  59.1 Mbits/sec
1423774284 [  5] 90.0-91.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774285 [  5] 91.0-92.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774285 [  4] 91.0-92.0 sec  7.33 MBytes  61.5 Mbits/sec
1423774286 [  4] 92.0-93.0 sec  7.01 MBytes  58.8 Mbits/sec
1423774286 [  5] 92.0-93.0 sec  7.62 MBytes  64.0 Mbits/sec
1423774287 [  4] 93.0-94.0 sec  7.30 MBytes  61.2 Mbits/sec
1423774287 [  5] 93.0-94.0 sec  7.25 MBytes  60.8 Mbits/sec
1423774288 [  4] 94.0-95.0 sec  7.41 MBytes  62.1 Mbits/sec
1423774288 [  5] 94.0-95.0 sec  7.62 MBytes  64.0 Mbits/sec
1423774289 [  4] 95.0-96.0 sec  7.31 MBytes  61.3 Mbits/sec
1423774289 [  5] 95.0-96.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774290 [  4] 96.0-97.0 sec  7.16 MBytes  60.0 Mbits/sec
1423774290 [  5] 96.0-97.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774291 [  4] 97.0-98.0 sec  7.05 MBytes  59.1 Mbits/sec
1423774291 [  5] 97.0-98.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774292 [  5] 98.0-99.0 sec  7.62 MBytes  64.0 Mbits/sec
1423774292 [  4] 98.0-99.0 sec  7.88 MBytes  66.1 Mbits/sec
1423774293 [  4] 99.0-100.0 sec  8.23 MBytes  69.1 Mbits/sec
1423774293 [  5] 99.0-100.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774294 [  5] 100.0-101.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774294 [  4] 100.0-101.0 sec  7.78 MBytes  65.3 Mbits/sec
1423774295 [  4] 101.0-102.0 sec  9.63 MBytes  80.8 Mbits/sec
1423774295 [  5] 101.0-102.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774296 [  4] 102.0-103.0 sec  7.35 MBytes  61.6 Mbits/sec
1423774296 [  5] 102.0-103.0 sec  7.25 MBytes  60.8 Mbits/sec
1423774297 [  4] 103.0-104.0 sec  8.14 MBytes  68.3 Mbits/sec
1423774297 [  5] 103.0-104.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774298 [  4] 104.0-105.0 sec  8.51 MBytes  71.4 Mbits/sec
1423774298 [  5] 104.0-105.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774299 [  5] 105.0-106.0 sec  7.25 MBytes  60.8 Mbits/sec
1423774299 [  4] 105.0-106.0 sec  8.12 MBytes  68.1 Mbits/sec
1423774300 [  5] 106.0-107.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774300 [  4] 106.0-107.0 sec  9.18 MBytes  77.0 Mbits/sec
1423774301 [  4] 107.0-108.0 sec  8.55 MBytes  71.7 Mbits/sec
1423774301 [  5] 107.0-108.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774302 [  4] 108.0-109.0 sec  7.27 MBytes  61.0 Mbits/sec
1423774302 [  5] 108.0-109.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774303 [  4] 109.0-110.0 sec  7.80 MBytes  65.5 Mbits/sec
1423774303 [  5] 109.0-110.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774304 [  4] 110.0-111.0 sec  7.45 MBytes  62.5 Mbits/sec
1423774304 [  5] 110.0-111.0 sec  7.25 MBytes  60.8 Mbits/sec
1423774305 [  4] 111.0-112.0 sec  7.09 MBytes  59.5 Mbits/sec
1423774305 [  5] 111.0-112.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774306 [  5] 112.0-113.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774306 [  4] 112.0-113.0 sec  7.17 MBytes  60.1 Mbits/sec
1423774307 [  4] 113.0-114.0 sec  8.62 MBytes  72.3 Mbits/sec
1423774307 [  5] 113.0-114.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774308 [  4] 114.0-115.0 sec  7.42 MBytes  62.2 Mbits/sec
1423774308 [  5] 114.0-115.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774309 [  4] 115.0-116.0 sec  7.89 MBytes  66.2 Mbits/sec
1423774309 [  5] 115.0-116.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774310 [  5] 116.0-117.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774310 [  4] 116.0-117.0 sec  7.69 MBytes  64.5 Mbits/sec
1423774311 [  4] 117.0-118.0 sec  9.13 MBytes  76.6 Mbits/sec
1423774311 [  5] 117.0-118.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774312 [  4] 118.0-119.0 sec  8.30 MBytes  69.6 Mbits/sec
1423774312 [  5] 118.0-119.0 sec  7.75 MBytes  65.0 Mbits/sec
1423774313 [  4] 119.0-120.0 sec  6.95 MBytes  58.3 Mbits/sec
1423774313 [  5] 119.0-120.0 sec  7.25 MBytes  60.8 Mbits/sec
1423774314 [  4] 120.0-121.0 sec  7.05 MBytes  59.1 Mbits/sec
1423774314 [  5] 120.0-121.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774315 [  5] 121.0-122.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774315 [  4] 121.0-122.0 sec  7.23 MBytes  60.7 Mbits/sec
1423774316 [  5] 122.0-123.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774316 [  4] 122.0-123.0 sec  8.34 MBytes  70.0 Mbits/sec
1423774317 [  4] 123.0-124.0 sec  7.52 MBytes  63.1 Mbits/sec
1423774317 [  5] 123.0-124.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774318 [  4] 124.0-125.0 sec  7.19 MBytes  60.3 Mbits/sec
1423774318 [  5] 124.0-125.0 sec  7.38 MBytes  61.9 Mbits/sec
